rou,fir,sec,thi,for,fif,six,bon
864,2,11,13,15,31,42,10
865,16,27,35,37,43,45,19
866,3,10,31,40,42,43,30
867,24,27,28,30,36,39,4
868,9,12,27,36,39,45,14
869,5,13,18,19,22,42,31
870,6,9,10,11,39,41,27
871,7,11,26,28,29,44,16
872,1,5,21,25,38,41,24
873,22,34,36,40,42,45,44
874,3,7,8,34,39,41,1
875,1,18,30,41,42,43,32
876,4,9,13,18,21,34,7
877,19,26,30,33,35,39,37
878,5,18,28,30,42,45,2
879,16,19,20,32,33,41,4
880,6,19,21,35,40,45,20
881,3,8,11,12,13,36,33
882,1,5,13,26,29,34,43
883,1,2,10,13,18,19,15
884,2,18,25,28,37,39,16
885,2,11,21,34,41,42,27
886,21,25,33,34,35,36,17
887,4,6,13,21,40,42,36
888,2,19,27,35,41,42,25
889,2,3,13,20,27,44,9
890,4,15,17,26,36,37,43
891,26,27,28,42,43,45,8
892,12,16,30,34,40,44,19
893,8,12,29,31,42,43,2
894,3,13,17,18,19,28,8
895,9,11,15,20,28,43,13
896,10,11,27,28,37,39,19
897,7,9,20,25,36,39,15
898,2,16,30,36,41,42,11
899,6,14,22,28,35,39,16
900,3,12,20,23,31,35,43
901,4,7,15,18,23,26,13
902,3,17,23,34,41,45,43
903,8,10,11,14,15,21,37
904,7,19,24,27,42,45,31
905,19,23,25,28,38,42,17
906,12,30,34,36,37,45,39
907,3,5,10,29,32,43,35
908,7,20,22,27,40,43,1
909,2,8,32,33,35,36,18
910,4,16,23,25,29,42,1
911,7,17,18,28,30,45,27
912,1,11,16,17,36,40,8
913,12,28,30,34,38,43,9
914,4,6,10,11,32,37,30
915,3,11,13,14,17,21,38
916,3,4,10,17,19,22,38
917,5,10,22,34,36,44,35
918,2,4,25,31,34,37,17
919,1,2,6,9,25,28,31
920,11,14,19,26,28,41,2
921,4,9,28,33,36,45,26
922,26,29,30,33,41,42,43
923,7,18,31,33,36,40,27
924,7,20,22,23,29,43,1
925,1,5,34,36,42,44,33
926,7,18,22,23,29,44,12
927,1,4,5,6,9,31,17
928,4,10,12,22,24,33,29
929,8,10,20,34,41,45,28
930,17,32,33,34,42,44,35
931,5,14,15,27,30,45,10
932,17,22,24,26,35,40,42
933,1,3,17,32,35,45,8
934,1,7,11,23,37,42,6
935,1,3,10,27,29,37,11
936,6,9,16,23,24,32,43
937,6,7,14,15,20,36,3
938,1,3,8,21,22,31,20
939,8,17,27,31,34,43,14
940,5,32,34,40,41,45,6
941,6,22,24,36,38,44,19
942,3,14,24,33,35,36,17
943,1,21,24,26,29,42,27
944,17,20,29,35,38,44,10
945,4,26,28,29,33,40,37
946,1,17,20,24,30,41,27
947,4,12,16,23,34,43,26
948,2,12,37,39,41,45,33
949,6,8,13,23,31,36,21
950,16,23,27,34,42,45,11
951,6,10,15,17,19,34,14
952,1,2,3,14,27,42,39
953,5,7,11,13,20,33,6
954,17,18,24,25,26,30,1
955,3,12,24,27,30,32,14
956,10,13,25,29,33,35,38
957,2,18,29,32,43,44,37
958,1,3,15,22,25,37,43
959,2,5,24,32,34,44,28
960,6,15,17,18,35,40,23
961,3,12,18,32,40,43,38
962,2,4,11,17,26,27,1
963,5,9,12,16,29,41,21
964,5,19,22,25,28,43,26
965,5,8,14,15,19,39,35
966,10,12,15,16,26,39,38
967,3,7,10,15,36,38,33
968,2,3,7,17,22,24,45
969,4,25,33,36,40,43,39
970,14,15,18,21,26,36,39
971,3,20,23,36,38,40,5
972,3,8,15,27,29,35,21
973,14,15,19,30,38,43,8
974,2,8,25,36,39,42,11
975,6,29,36,39,41,45,13
976,10,24,25,33,40,44,1
977,7,10,16,25,29,44,6
978,10,14,30,31,33,37,19
979,17,21,31,37,40,44,7
980,1,8,21,27,36,39,37
981,7,8,14,32,33,39,42
982,2,4,15,16,20,29,1
983,2,3,11,16,26,44,35
984,2,10,12,15,22,44,1
985,4,7,16,19,33,40,30
986,6,10,18,26,37,38,3
987,14,17,26,31,36,45,27
988,8,13,15,23,31,38,39
989,1,10,20,27,33,35,17
990,3,11,21,30,38,45,39
991,6,31,35,38,39,44,1
992,17,18,19,21,23,32,1
993,13,20,23,35,38,43,34
994,7,13,18,19,25,26,6
995,6,7,13,15,21,43,8
996,16,17,22,30,37,43,36
997,7,27,30,33,35,37,42
998,1,10,23,26,28,40,31
999,2,3,11,26,37,43,39
1000,9,26,35,37,40,42,2
1001,4,7,32,33,40,41,9
1002,6,14,19,25,34,44,11
1003,7,9,18,23,28,35,32
1004,8,17,20,35,36,44,4
1005,1,5,13,34,39,40,11
1006,9,18,23,25,35,37,1
1007,1,20,26,28,37,43,27
1008,4,5,7,18,20,25,31
1009,2,4,21,26,43,44,16
1010,7,8,27,29,36,43,6
1011,5,13,17,18,33,42,44
1012,4,5,6,8,17,39,25
1013,6,12,17,18,31,32,21
1014,10,14,18,20,23,30,41
1015,6,30,38,39,40,43,26
1016,3,12,13,19,32,35,29
1017,3,4,9,17,32,37,1
1018,6,7,24,37,38,40,33
1019,3,4,16,30,31,37,13
1020,2,6,12,31,33,40,15
1021,22,23,25,37,38,42,26
1022,2,11,21,25,39,45,44
1023,1,7,36,37,41,42,14
1024,9,25,30,33,41,44,6
1025,2,4,16,17,36,39,14
1026,8,19,25,34,37,39,9
1027,2,9,16,25,26,40,42
1028,14,15,26,27,40,42,34
1029,16,24,29,40,41,42,3
1030,14,27,30,31,40,42,2
1031,11,16,19,21,27,31,30
1032,9,13,21,25,32,42,2
1033,10,23,29,33,37,40,16
