year_math,div_sco_math1,pop_math1,prop_math1,div_sco_math2,pop_math2,prop_math2,div_sco_math3,pop_math3,prop_math3,div_sco_math4,pop_math4,prop_math4,div_sco_math5,pop_math5,prop_math5,div_sco_math6,pop_math6,prop_math6,div_sco_math7,pop_math7,prop_math7,div_sco_math8,pop_math8,prop_math8,pop_math9,prop_math9
2022,133,17910,4.2,126,32921,7.72,118,50248,11.78,107,69816,16.36,94,85517,20.05,80,76134,17.85,74,50532,11.84,70,29913,7.01,13634,3.2
2021,137,18031,4.2,127,31917,7.43,117,49185,11.44,106,72891,16.96,92,88933,20.69,81,72301,16.82,75,51502,11.98,71,31602,7.35,13437,3.13
