일시,평균기온(℃),평균최고기온(℃),최고기온(℃),최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자,total_visit_cnt
Feb-21,9.4,12.8,23.7,2021-02-21,6.4,-1.2,2021-02-17,790712
Mar-21,12.5,16.1,21.9,2021-03-01,9.3,4.8,2021-03-03,889216
Apr-21,15.4,19.2,25.9,2021-04-22,12.2,8.2,2021-04-14,1078759
May-21,19,23.5,30.9,2021-05-15,15.6,9.4,2021-05-03,1132368
Jun-21,23.4,27,31.5,2021-06-09,20.8,18.4,2021-06-04,1134254
Jul-21,27.8,31.1,34.2,2021-07-28,25.5,22.7,2021-07-04,1126885
Aug-21,27.3,30.3,33.8,2021-08-04,25,22.2,2021-08-14,969818
Sep-21,24.9,28,33.3,2021-09-01,22.5,19,2021-09-24,867371
Oct-21,20.1,23.8,31.8,2021-10-10,17.1,9,2021-10-18,1218155
Nov-21,14,18.1,23.2,2021-11-07,10.9,7,2021-11-30,1200047
Dec-21,8.9,12.2,17.4,2021-12-21,6.3,-0.5,2021-12-26,1086902
Jan-22,6.2,9.1,14.4,2022-01-22,3.9,0.3,2022-01-21,1166901
Feb-22,5.6,8.7,16.2,2022-02-26,2.9,0,2022-02-20,1026355
Mar-22,11.4,15.5,22.3,2022-03-12,7.8,4.5,2022-03-06,869828
Apr-22,15.5,19.6,26.7,2022-04-25,11.9,5.6,2022-04-03,1174769
May-22,19.4,23.1,29,2022-05-27,15.8,9.5,2022-05-03,1301963
Jun-22,23.9,27.5,34.4,2022-06-26,21.1,17.3,2022-06-05,1277848
Jul-22,28.4,31.8,36,2022-07-28,25.7,23.2,2022-07-16,1256845
Aug-22,29.2,32.8,37.5,2022-08-10,26.2,21.2,2022-08-28,
Sep-22,,,30.2,2022-09-04,,18.7,2022-09-07,
