Date,WTi,Brent,Dubai
###############################################################################################################################################################################################################################################################,66.27,69.46,67.17
###############################################################################################################################################################################################################################################################,65.37,68.71,65.26
###############################################################################################################################################################################################################################################################,63.82,67.05,66.56
###############################################################################################################################################################################################################################################################,66.08,69.32,66.56
###############################################################################################################################################################################################################################################################,65.28,68.55,65.54
###############################################################################################################################################################################################################################################################,64.92,68.32,66.74
###############################################################################################################################################################################################################################################################,64.9,68.28,65.9
###############################################################################################################################################################################################################################################################,64.71,68.09,67.17
###############################################################################################################################################################################################################################################################,65.63,68.96,67.76
###############################################################################################################################################################################################################################################################,64.49,67.56,64.38
###############################################################################################################################################################################################################################################################,63.58,67.25,65.27
###############################################################################################################################################################################################################################################################,65.01,68.56,65.1
###############################################################################################################################################################################################################################################################,63.86,67.27,63.57
###############################################################################################################################################################################################################################################################,62.94,66.42,63.27
###############################################################################################################################################################################################################################################################,61.91,65.65,62.37
###############################################################################################################################################################################################################################################################,62.14,66.11,62.93
###############################################################################################################################################################################################################################################################,61.43,65.4,62.25
###############################################################################################################################################################################################################################################################,61.35,65.32,63.71
###############################################################################################################################################################################################################################################################,62.44,66.57,65.74
###############################################################################################################################################################################################################################################################,63.38,67.05,64.83
###############################################################################################################################################################################################################################################################,63.13,66.77,65.12
###############################################################################################################################################################################################################################################################,63.46,66.94,64.17
###############################################################################################################################################################################################################################################################,63.15,66.58,62.56
###############################################################################################################################################################################################################################################################,60.18,63.67,61.58
###############################################################################################################################################################################################################################################################,59.7,63.28,61.1
###############################################################################################################################################################################################################################################################,59.32,62.95,60.94
###############################################################################################################################################################################################################################################################,59.6,63.2,61.24
###############################################################################################################################################################################################################################################################,59.77,63.16,60.88
###############################################################################################################################################################################################################################################################,59.33,62.74,61.34
###############################################################################################################################################################################################################################################################,58.65,62.15,61.91
###############################################################################################################################################################################################################################################################,61.45,64.86,61.51
###############################################################################################################################################################################################################################################################,59.16,63.54,63.36
###############################################################################################################################################################################################################################################################,60.55,64.14,63.9
###############################################################################################################################################################################################################################################################,61.56,64.98,63.11
###############################################################################################################################################################################################################################################################,60.97,64.57,62.07
###############################################################################################################################################################################################################################################################,58.56,61.95,62.43
###############################################################################################################################################################################################################################################################,61.18,64.41,60.98
###############################################################################################################################################################################################################################################################,57.76,60.79,63
###############################################################################################################################################################################################################################################################,61.55,64.62,63.18
###############################################################################################################################################################################################################################################################,61.42,64.53,62.2
###############################################################################################################################################################################################################################################################,60,63.28,65.29
###############################################################################################################################################################################################################################################################,64.6,68,66.57
###############################################################################################################################################################################################################################################################,64.8,68.39,66.46
###############################################################################################################################################################################################################################################################,65.39,68.88,68.25
###############################################################################################################################################################################################################################################################,65.61,69.22,67.9
###############################################################################################################################################################################################################################################################,66.02,69.63,66.82
###############################################################################################################################################################################################################################################################,64.44,67.9,65.3
###############################################################################################################################################################################################################################################################,64.01,67.52,66.4
###############################################################################################################################################################################################################################################################,65.05,68.24,68.32
###############################################################################################################################################################################################################################################################,66.09,69.36,66.37
###############################################################################################################################################################################################################################################################,63.83,66.74,63.11
###############################################################################################################################################################################################################################################################,61.28,64.07,61.44
###############################################################################################################################################################################################################################################################,59.75,62.7,61.41
###############################################################################################################################################################################################################################################################,60.64,63.69,64.23
###############################################################################################################################################################################################################################################################,61.5,64.42,64.29
###############################################################################################################################################################################################################################################################,63.53,66.88,65.39
###############################################################################################################################################################################################################################################################,63.22,67.04,62.89
###############################################################################################################################################################################################################################################################,61.67,65.37,63.54
###############################################################################################################################################################################################################################################################,61.49,65.24,61.28
###############################################################################################################################################################################################################################################################,59.24,62.91,60.83
###############################################################################################################################################################################################################################################################,60.52,63.93,63.26
###############################################################################################################################################################################################################################################################,61.14,64.34,62.8
###############################################################################################################################################################################################################################################################,60.05,63.35,62.3
###############################################################################################################################################################################################################################################################,59.47,63.3,62.48
###############################################################################################################################################################################################################################################################,59.47,62.43,60.54
###############################################################################################################################################################################################################################################################,58.24,61.14,60.54
###############################################################################################################################################################################################################################################################,58.68,61.47,60.39
###############################################################################################################################################################################################################################################################,58.36,61.09,60.49
###############################################################################################################################################################################################################################################################,57.97,50.56,59.8
###############################################################################################################################################################################################################################################################,56.85,59.34,58.94
###############################################################################################################################################################################################################################################################,56.23,58.84,58.36
###############################################################################################################################################################################################################################################################,55.69,58.46,57.64
###############################################################################################################################################################################################################################################################,54.76,57.46,56.77
###############################################################################################################################################################################################################################################################,53.55,56.35,55
###############################################################################################################################################################################################################################################################,52.2,55.88,54.65
###############################################################################################################################################################################################################################################################,52.34,55.53,54.77
###############################################################################################################################################################################################################################################################,52.85,55.81,55.74
###############################################################################################################################################################################################################################################################,52.61,55.91,55.32
###############################################################################################################################################################################################################################################################,52.77,55.88,55.41
###############################################################################################################################################################################################################################################################,52.27,55.41,55.2
###############################################################################################################################################################################################################################################################,53.13,56.1,55.49
###############################################################################################################################################################################################################################################################,53.24,56.08,56.24
###############################################################################################################################################################################################################################################################,52.98,55.9,55.19
###############################################################################################################################################################################################################################################################,52.36,54.75,54.19
###############################################################################################################################################################################################################################################################,52.36,55.1,55.39
###############################################################################################################################################################################################################################################################,53.57,56.42,55.7
###############################################################################################################################################################################################################################################################,52.91,56.06,56.44
###############################################################################################################################################################################################################################################################,53.21,56.58,55.71
###############################################################################################################################################################################################################################################################,52.25,55.66,55.33
###############################################################################################################################################################################################################################################################,52.24,55.99,54.58
###############################################################################################################################################################################################################################################################,50.83,54.38,54.52
###############################################################################################################################################################################################################################################################,50.63,54.3,53.51
###############################################################################################################################################################################################################################################################,49.93,53.6,50.5
###############################################################################################################################################################################################################################################################,47.62,51.09,52.49
###############################################################################################################################################################################################################################################################,48.52,51.8,51.14
###############################################################################################################################################################################################################################################################,48.4,51.34,51.05
###############################################################################################################################################################################################################################################################,48,51.09,50.97
###############################################################################################################################################################################################################################################################,47.62,50.89,51.07
###############################################################################################################################################################################################################################################################,48.23,51.29,51.28
###############################################################################################################################################################################################################################################################,48.12,51.2,49.61
###############################################################################################################################################################################################################################################################,47.02,50.08,49.75
###############################################################################################################################################################################################################################################################,47.74,50.91,50.26
###############################################################################################################################################################################################################################################################,49.1,52.26,51.11
###############################################################################################################################################################################################################################################################,48.36,51.5,51.46
###############################################################################################################################################################################################################################################################,47.82,51.08,50.85
###############################################################################################################################################################################################################################################################,47.62,50.76,50.17
###############################################################################################################################################################################################################################################################,46.99,50.29,50.65
###############################################################################################################################################################################################################################################################,46.57,49.97,50.47
###############################################################################################################################################################################################################################################################,46.78,50.25,49.03
###############################################################################################################################################################################################################################################################,45.52,48.86,49.14
###############################################################################################################################################################################################################################################################,45.6,48.84,48.3
###############################################################################################################################################################################################################################################################,45.76,48.79,48.29
###############################################################################################################################################################################################################################################################,46.26,49.25,49.04
###############################################################################################################################################################################################################################################################,45.64,48.71,48.06
###############################################################################################################################################################################################################################################################,45.28,48.25,47.08
###############################################################################################################################################################################################################################################################,44.55,47.42,47.59
###############################################################################################################################################################################################################################################################,45.34,47.59,47.02
###############################################################################################################################################################################################################################################################,45.53,48.18,47.13
###############################################################################################################################################################################################################################################################,45.71,47.8,47.49
###############################################################################################################################################################################################################################################################,45.71,48.61,47.87
###############################################################################################################################################################################################################################################################,44.91,47.86,45.86
###############################################################################################################################################################################################################################################################,43.06,46.06,45.61
###############################################################################################################################################################################################################################################################,42.15,44.96,44.19
###############################################################################################################################################################################################################################################################,41.74,44.2,44
###############################################################################################################################################################################################################################################################,41.82,44.34,43.78
###############################################################################################################################################################################################################################################################,41.43,43.75,43.87
###############################################################################################################################################################################################################################################################,41.34,43.82,43.74
###############################################################################################################################################################################################################################################################,40.13,42.78,43.15
###############################################################################################################################################################################################################################################################,41.12,43.53,43.95
###############################################################################################################################################################################################################################################################,41.45,43.8,44.44
###############################################################################################################################################################################################################################################################,41.36,43.61,42.49
###############################################################################################################################################################################################################################################################,40.29,42.4,40.34
###############################################################################################################################################################################################################################################################,37.14,39.45,40.57
###############################################################################################################################################################################################################################################################,38.79,40.93,40.69
###############################################################################################################################################################################################################################################################,39.15,41.23,39.76
###############################################################################################################################################################################################################################################################,37.66,39.71,39.52
###############################################################################################################################################################################################################################################################,36.81,38.98,36.3
###############################################################################################################################################################################################################################################################,35.79,37.46,37.18
###############################################################################################################################################################################################################################################################,36.17,37.65,38.26
###############################################################################################################################################################################################################################################################,37.39,39.12,39.27
###############################################################################################################################################################################################################################################################,39.57,41.2,39.9
###############################################################################################################################################################################################################################################################,38.56,40.46,39.84
###############################################################################################################################################################################################################################################################,39.85,41.77,41.67
###############################################################################################################################################################################################################################################################,40.64,42.46,41.36
###############################################################################################################################################################################################################################################################,40.03,41.73,41.71
###############################################################################################################################################################################################################################################################,41.46,43.16,41.58
###############################################################################################################################################################################################################################################################,40.83,42.62,41.77
###############################################################################################################################################################################################################################################################,40.88,42.93,41.88
###############################################################################################################################################################################################################################################################,40.96,43.16,42.01
###############################################################################################################################################################################################################################################################,41.04,43.32,41.62
###############################################################################################################################################################################################################################################################,40.2,42.45,41.19
###############################################################################################################################################################################################################################################################,39.43,41.72,41.28
###############################################################################################################################################################################################################################################################,40.6,42.85,42.06
###############################################################################################################################################################################################################################################################,41.19,43.34,41.46
###############################################################################################################################################################################################################################################################,39.95,41.99,41.24
###############################################################################################################################################################################################################################################################,40.67,42.65,40.55
###############################################################################################################################################################################################################################################################,39.22,41.29,39.27
###############################################################################################################################################################################################################################################################,37.05,39.27,38.62
###############################################################################################################################################################################################################################################################,38.72,40.93,41.12
###############################################################################################################################################################################################################################################################,40.22,40.95,40.36
###############################################################################################################################################################################################################################################################,39.29,41.03,41.87
###############################################################################################################################################################################################################################################################,40.6,42.43,41.41
###############################################################################################################################################################################################################################################################,40.25,41.92,41.98
###############################################################################################################################################################################################################################################################,40.31,41.94,41.21
