Date,WTi,Brent,Dubai
###############################################################################################################################################################################################################################################################,73.44,79.23,76.83
###############################################################################################################################################################################################################################################################,72.47,77.95,76.17
###############################################################################################################################################################################################################################################################,71.43,76.55,76.16
###############################################################################################################################################################################################################################################################,71.58,76.61,74.38
###############################################################################################################################################################################################################################################################,69.47,74.26,71.63
###############################################################################################################################################################################################################################################################,68.61,73.24,76.23
###############################################################################################################################################################################################################################################################,71.32,76.03,76.63
###############################################################################################################################################################################################################################################################,71.23,75.84,76.07
###############################################################################################################################################################################################################################################################,69.34,74.05,75
###############################################################################################################################################################################################################################################################,69.38,74.3,77.53
###############################################################################################################################################################################################################################################################,72.32,77.2,78.53
###############################################################################################################################################################################################################################################################,73.04,78.03,78.03
###############################################################################################################################################################################################################################################################,74.07,78.88,81.31
###############################################################################################################################################################################################################################################################,75.96,82.83,85.38
###############################################################################################################################################################################################################################################################,77.86,83.1,82.99
###############################################################################################################################################################################################################################################################,76.41,81.68,82.14
###############################################################################################################################################################################################################################################################,74.86,79.98,81.49
###############################################################################################################################################################################################################################################################,75.54,80.58,83.05
###############################################################################################################################################################################################################################################################,77.1,81.96,84.19
###############################################################################################################################################################################################################################################################,77.77,82.45,83.39
###############################################################################################################################################################################################################################################################,77.6,82.32,82.79
###############################################################################################################################################################################################################################################################,75.89,80.61,79.23
###############################################################################################################################################################################################################################################################,72.9,77.42,81.67
###############################################################################################################################################################################################################################################################,76.66,81.18,83.23
###############################################################################################################################################################################################################################################################,78.26,82.47,83.35
###############################################################################################################################################################################################################################################################,77.17,81.43,81.62
###############################################################################################################################################################################################################################################################,75.74,80.01,81.29
###############################################################################################################################################################################################################################################################,75.33,79.54,82.74
###############################################################################################################################################################################################################################################################,77.37,81.61,85.04
###############################################################################################################################################################################################################################################################,80.82,85.18,86.89
###############################################################################################################################################################################################################################################################,80.51,84.89,88.26
###############################################################################################################################################################################################################################################################,82.46,86.85,86.94
###############################################################################################################################################################################################################################################################,80.44,84.63,86.25
###############################################################################################################################################################################################################################################################,81.02,87.41,88.05
###############################################################################################################################################################################################################################################################,82.31,87.45,89.85
###############################################################################################################################################################################################################################################################,85.54,90.48,89.72
###############################################################################################################################################################################################################################################################,83.21,87.93,90.11
###############################################################################################################################################################################################################################################################,85.39,90.13,89.03
###############################################################################################################################################################################################################################################################,83.74,88.07,90.49
###############################################################################################################################################################################################################################################################,85.49,89.83,92.34
###############################################################################################################################################################################################################################################################,88.75,92.16,93.44
###############################################################################################################################################################################################################################################################,89.37,92.38,91.19
###############################################################################################################################################################################################################################################################,88.32,91.5,92.48
###############################################################################################################################################################################################################################################################,86.66,89.9,90.78
###############################################################################################################################################################################################################################################################,86.66,89.65,91.13
###############################################################################################################################################################################################################################################################,87.69,90.89,88.88
###############################################################################################################################################################################################################################################################,82.91,86,87.27
###############################################################################################################################################################################################################################################################,83.49,85.82,88.2
###############################################################################################################################################################################################################################################################,85.97,87.65,88.49
###############################################################################################################################################################################################################################################################,86.38,88.15,87.05
###############################################################################################################################################################################################################################################################,82.79,84.58,84.83
###############################################################################################################################################################################################################################################################,82.31,84.07,86.29
###############################################################################################################################################################################################################################################################,84.22,85.81,90.66
###############################################################################################################################################################################################################################################################,89.23,90.92,91.09
###############################################################################################################################################################################################################################################################,88.82,90.71,93.12
###############################################################################################################################################################################################################################################################,90.79,95.31,96.1
###############################################################################################################################################################################################################################################################,91.71,95.38,96.75
###############################################################################################################################################################################################################################################################,93.68,96.55,94.46
