den,wt
5700,27.6
2155,30
2200,27.85
1200,27.85
5500,22.105
210,25.95
200,22.89
29500,16.5
900,13.95
60,15.95
150,16.15
4000,25.4
9.5,28.05
20,27.95
25,25.25
240,27.5
55,24.85
130,26.5
275,28.7
509.5,27.8
763,27.65
250,26.55
155,25.15
225,28.5
688,27.75
400,26.7
350,25.75
405,27.95
520,28.3
1590,28.9
702,27.8
365,26.5
710,24.2
860,25.05
425,28.5
288,27.3
397.5,26.4
403.5,27.35
530,26.8
455,25
675,28.3
428,26.1
242.5,27.15
325,29.1
295,25.9
49,27.25
187.5,26.75
460,26.75
275,30
320,26.8
5,28.45
285,27.95
134.5,28.85
315,27.45
400,23.12
2750,19.2
147,24.7
162,24.7
1750,21
300,19.4
5500,19.4
40,17.35
2500,17.35
25,19.9
1303,20.45
5360,21.2
38.5,22.8
105,23.2
35,23.65
148,23.15
110,23.8
185,23.8
45,24.25
7.5,23.3
177.5,23.05
270,24.4
56,23.1
367.5,23.85
822,23.4
365,23.7
550,24.2
1025,23.1
2253.5,22.9
912.5,22.8
6170,23.55
425,23.7
330,23.6
1585,22.3
375,23.35
955,22.25
208,23.25
637.5,23.1
570,24
310,23.65
735,22.8
775,23.25
320,23.4
1140,23.85
650,23.7
1084,23.2
1044,23.25
466,24
275,23.3
1720,24.1
600,24.4
1015,23
615,24.1
885,23.15
459.5,23.35
915,23.75
72.5,23.5
270,23.1
1570,24.1
725,24.2
1800,24.2
1580,24.6
3700,23.8
815,24.6
1245.5,23.7
648.5,24.1
450.5,24.05
1625,24.6
1425,23.85
5100,24.05
2410,24.5
800,24.85
1350,24.4
235,24.2
30,22.45
535,23.7
1600,24.45
2000,23.65
3560,24.45
825,25.1
3755,24
1715,24
160,23.1
165,23.7
9,23
2675,24
2505,23.5
2525,24.5
904,25.15
3505,23.9
1775,24.25
942,25.25
3160,23.8
215,22.55
976,23.6
1906,24.15
4800,23.95
175,24.15
205,22.7
240,24.1
2725,24.7
1065,24.5
840,25.25
3810,22.9
1295,24.55
515,23.15
1672,24.85
750,24.85
225,23.4
840,24.6
1535,24.55
1410,25.1
2505,23.95
1150,24.35
146,24.4
1128,23.95
602,25.8
2465,23.5
1350,24.9
1202.5,23.25
73,24.75
402,23.95
615,24.75
12520,24.2
1100,25.35
580,24.4
430,24.6
470,24.95
750,23.4
3005,23.45
22,25.7
908,23.95
4005,24.75
8,24.7
104,24.85
1255,24
1100,24.5
4550,24.1
2950,24.1
1105,24.6
1195,23.5
1755,23.9
1125,24.7
68,23.3
1585,24.65
440,24.5
128,24.2
3125,24.55
535,24.55
225,24.2
5005,25.1
1702.5,24.9
744,23.6
805,25.15
1086,24.1
1100,24.5
465,25.7
3050,24
70,24.2
782.5,23.1
2550,24.25
125,24.45
1502.5,25.5
580,25.4
430,25.15
3924,24.75
2250,24.65
1370,24.65
660,25.65
435,24.65
5025,24.25
2050,25.35
540,24.75
2375,24.45
1685,24.2
130,25.5
155,23.95
155,24.3
3435,24.45
2310,24.3
1770,25.25
650,24
1021,23.3
20,23.25
85,24.9
51,25.7
2225,24.35
400,24.15
1225,25.9
1150,24.05
1715,24.3
250,23.55
665,24.4
1550,25.05
1580,23.95
415,24.65
7050,24.9
7290,24.05
875,26.1
3650,25.6
620,24.45
6622,26.3
2225,24.45
1140,25.25
5240,24.55
3700,23.25
3415,24.8
2150,24.75
840,24
7550,24.8
2975,23.7
1550,24.3
6300,24.5
600,23.4
2050,24.25
445,23.45
4910,24.5
2450,23.25
1455,25.4
1430,24.6
9010,24.5
5200,23.5
2390,25.55
3000,24.6
1300,23.05
4500,24.75
6600,24.55
760,24.35
560,24.05
16050,23.05
2450,24.5
675,23.2
1127,25.5
3940,22.9
1345,25.6
340,25.2
609,25.05
1800,24.3
559,23.4
1264,24.05
3650,23
760,24.45
1340,22.65
420,25.8
1680,23.6
5125,24
2505,24.15
2050,24.05
497.5,23.75
1010,24.65
2030,22.85
330,24.75
61.5,23.2
1680,24.4
1870,22.65
970,23.15
2675,23.2
145.5,24.55
1400,25
3720,23.85
2175,23.45
1650,24.85
1300,23.45
925,24.75
1505,23.35
67,25.3
1383,25.25
4690,22.85
3090,23.65
825,24.8
110,25.75
1991,22.95
580,22.45
2940,23.8
127.5,25.35
1175,23.55
1130,22.15
155,24.45
350,23.3
978,22.9
1175,24.55
1215,25.15
155,25.6
30,26.7
825,25.9
320,22.7
1295,25.9
336,24
950,24.75
450,26.4
425,25.45
1.75,27.15
550,27.8
616,23.75
410,26.9
615,25.1
550,26.25
740,22.75
530,26
695,26.5
150.5,25.3
30,25.2
550,26.5
1220,23.45
325.5,25.25
653,22.15
725,25.7
300.5,24.3
310,24.85
900,25.35
2164,24.1
82.5,25.2
580,23.95
450,27.5
400,24.9
180.5,25.8
340,22.6
252.5,23.4
27.5,22.95
12750,23.35
40,24.15
147,24.6
580,23.75
355,24
4500,21
720,23.3
530,23.3
3500,20.6
3500,22.5
4500,21.5
2175,20.4
750,17.2
1650,17.3
3815,17.85
225,15
163,15.05
5750,14.9
450,12.8
17500,7.1
210,22.2
260,22.55
900,22.5
1025,22.6
80,22.1
1500,22.45
425,22.55
500,22.7
660,22.05
500,22.7
660,22.05
850,22.95
650,22.75
900,22.85
380,23
