year,mid,top
2010,61.1,68.9
2011,59.6,67.9
2012,59.2,66.2
2013,57.5,66.2
2014,58.4,66.7
2015,58.7,65.7
2016,60.1,69.1
2017,63.5,70.5
2018,68.6,73.2
2019,70,80.1
2020,70.6,81.8
2021,74.5,82.1
2022,74.9,83.7
2023,75.2,82.6
