base_month,leis_sports_cnt,ref_view_cnt,meet_work_cnt,visit_rel_cnt,edu_trip_cnt,etc_cnt,total_visit_cnt,at,ws
201711,223950,645007,156964,34247,12292,25527,1097987,12.6,3
201712,97218,790990,95795,46529,2214,11029,1043775,7.2,3.9
201801,126413,757889,78743,78741,234,2936,1044956,4.9,3.8
201802,103573,681718,54538,50344,0,2690,892863,5.5,3.7
201803,94279,758206,97756,54840,18785,9912,1033778,11.4,3
201804,180153,772325,175460,28582,62892,5109,1224521,15.9,2.9
201805,149737,823440,52129,41241,73417,65940,1205904,19.1,2.9
201806,161547,870959,54838,77419,10689,2560,1178012,22.3,2.7
201807,124283,867169,61369,64040,3123,2906,1122890,27.3,2.7
201808,136388,949466,36720,15737,3199,5246,1146756,28.8,3.3
201809,64870,858283,69860,67365,25738,12475,1098591,23.9,2.8
201810,136051,700049,121210,84105,69517,17315,1128247,17.9,3.2
201811,131927,769052,41832,80445,12775,0,1036031,13.9,2.6
201812,181896,708768,21955,37634,1237,25090,976580,8.7,3.6
201901,110536,835112,24277,46126,687,7392,1024130,6.4,3.3
201902,114782,760851,71107,42665,0,9485,998890,7.4,3
201903,171844,699855,85051,60751,13402,7320,1038223,10.8,3.5
201904,194187,745744,89367,68145,52616,8607,1158666,14.7,3
201905,129034,874526,50526,30678,83508,7787,1176059,20,3
201906,156384,852915,53699,75809,13114,3099,1155020,21.5,2.6
201907,58971,945970,63065,76775,2486,10180,1157447,25.2,2.6
201908,149354,1024831,39634,16986,3144,9183,1243132,27.7,2.8
201909,67494,796500,64248,68554,20301,15381,1032478,24,2.9
201910,193546,729136,118238,121053,60936,31510,1254419,19.7,2.9
201911,159208,841307,45887,89593,23770,18003,1177768,14.6,3
201912,83319,930059,62792,45471,2452,19679,1143772,9.7,3.3
202001,120890,823210,40753,105958,144,13483,1104438,8.9,3.5
202002,30042,408295,76200,70514,0,14524,599575,9.1,3.3
202003,27280,324593,54477,56747,0,14079,477176,11.5,3.2
202004,28394,381297,53859,67017,0,10532,541099,13.2,3.3
202005,57543,584612,57824,55751,120,9766,765616,18.8,2.9
202006,27181,681136,59140,87691,0,5380,860528,22.4,2.7
202007,49742,749450,68728,109765,0,10409,988094,24.2,2.9
202008,47232,999753,45202,26589,100,8221,1127097,29.4,2.9
202009,52730,547341,39936,74683,0,11479,726169,22.9,3
202010,140142,704112,112996,101296,0,13909,1072455,18.4,2.9
202011,145018,827550,63142,87984,82,14593,1138369,14.1,2.9
202012,45276,450468,52828,52927,0,21563,623062,7.7,3.4
202101,66786,296742,24075,67606,0,10463,465672,6.8,3.9
202102,62141,588701,57452,73437,0,8981,790712,9.4,3.9
202103,78458,643293,93387,55459,0,18619,889216,12.5,3.1
202104,72673,871832,65902,55939,0,12413,1078759,15.4,3.2
202105,62320,903956,55769,106745,80,3498,1132368,19,3
202106,68387,934448,60504,62745,0,8170,1134254,23.4,2.4
202107,36274,968782,73069,32663,0,16097,1126885,27.8,3.1
202108,43445,848667,51875,18128,0,7703,969818,27.3,2.5
202109,74382,556900,40312,173601,0,22176,867371,24.9,3.4
202110,159009,770962,203258,76544,15,8367,1218155,20.1,2.9
202111,114236,884800,97990,66931,703,35387,1200047,14,3.7
202112,183629,708458,110943,54437,1077,28358,1086902,8.9,4.2
202201,191206,842122,41967,81868,0,9738,1166901,6.2,3.5
202202,177948,714909,36435,91712,0,5351,1026355,5.6,4.1
202203,74732,617995,54215,98248,0,24638,869828,11.4,3.2
202204,102377,843283,99160,97450,761,31738,1174769,15.5,2.8
202205,94892,918511,127819,121753,5588,33400,1301963,19.4,2.9
202206,106281,970029,81591,99722,5233,14992,1277848,23.9,3.3
202207,93984,940925,127469,79347,4168,10952,1256845,28.4,3.1
